building,appliance,appliance_phase,main_phase,corr,is_best_corr
building_18,tumble_dryer,phase_1_tumble_dryer,phase_1_main,-0.0030652854179649314,False
building_18,freezer,phase_1_freezer,phase_3_main,0.05042920151337313,True
building_18,washing_machine,phase_1_washing_machine,phase_2_main,0.0020850455118919787,False
building_19,fridge,phase_1_fridge,phase_1_main,0.08450398659927498,True
building_19,fridge,phase_1_fridge,phase_2_main,0.004816962294999952,False
building_19,dishwasher,phase_1_dishwasher,phase_1_main,0.28080833248261367,True
building_19,dishwasher,phase_1_dishwasher,phase_2_main,0.0028571894315676262,False
building_19,dishwasher,phase_1_dishwasher,phase_3_main,0.006614108596472976,False
building_19,freezer,phase_1_freezer,phase_1_main,-0.013548910690107205,False
building_19,fridge,phase_1_fridge,phase_3_main,-0.0002542945240972321,False
building_19,freezer,phase_1_freezer,phase_3_main,0.2150976177511779,True
building_19,freezer,phase_1_freezer,phase_2_main,0.018688233343391817,False
building_19,tumble_dryer,phase_1_tumble_dryer,phase_2_main,0.0008992945224143909,False
building_19,tumble_dryer,phase_1_tumble_dryer,phase_3_main,0.024588325106442908,True
building_19,washing_machine,phase_1_washing_machine,phase_1_main,0.32820328091259526,True
building_19,washing_machine,phase_1_washing_machine,phase_2_main,0.00025362628834667115,False
building_19,washing_machine,phase_1_washing_machine,phase_3_main,0.001951829559158326,False
building_19,tumble_dryer,phase_1_tumble_dryer,phase_1_main,-0.001032821881615585,False
building_20,freezer,phase_1_freezer,phase_3_main,2.0728710085801474e-05,False
building_20,tumble_dryer,phase_1_tumble_dryer,phase_1_main,0.3662421158097897,True
building_20,tumble_dryer,phase_1_tumble_dryer,phase_2_main,0.0009195645543894424,False
building_20,tumble_dryer,phase_1_tumble_dryer,phase_3_main,0.0057299817128473535,False
building_20,freezer,phase_1_freezer,phase_1_main,0.03556721058614482,True
building_20,freezer,phase_1_freezer,phase_2_main,0.00036573449255512325,False
